Number,In Charge,STUDY ACCCESSION,PUBMEDID,LINK,DATASETS,Consortia,NOTES
1,Xuejie,GCST003676,27225129,www.ncbi.nlm.nih.gov/pubmed/27225129,Age and Cognitive Performance Research Cohort (ACPRC); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Avon Longitudinal Study of Parents and Children (ALSPAC); Austrian Stroke Prevention Study (ASPS); The Berlin Aging Study II (BASE-II); Cohorte Lausannoise (CoLaus); Copenhagen Study on Asthma in Childhood 2000 birth cohort (COPSAC-2000); CROATIA-Korcula Study (CROATIA-KORCULA); deCODE Genetics (deCODE); Dortmund Health Study (DHS); Estonian Genome Center of the University of Tartu (EGCUT); Erasmus Rucphen Family Study (ERF); Family Heart Study (FamHS); FINRISK (FINRISK); Finnish Twin Cohort Study (FTC); Generation Scotland: Scottish Family Health Study (GS:SFHS); Genetics of Overweight Young Adults (GOYA); Genetic Regulation of Arterial Pressure in Humans in the Community (GRAPHIC); Health 2000 Study (Health 2000); Helsinki Birth Cohort Study (HBCS); Hunter Community Study (HCS); Heinz Nixdorf Recall Study (HNR); Health and Retirement Study (HRS); Hypertension Genetic Epidemiology Network (HYPERGEN); Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); Cooperative Health Research in the Region of Augsburg (KORA); Lothian Birth Cohort (LBC); LifeLines (LifeLines); Minnesota Center for Twin and Family Research (MCTFR); Molecular Genetics of Schizophrenia Collaboration (MGS); Norwegian Mother and Child Cohort study (MOBA); Netherlands Study of Depression and Anxiety (NESDA); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Nijmegen Biomedical Study (NBS); Netherlands Twin Registry (NTR); Ogliastra Genetic Park (OGP); Orkney Complex Disease Study (ORCADES); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Queensland Institute of Medical Research (QIMR); Rotterdam Study (RS); Religious Orders Study and Rush Memory and Aging Project (ROSMAP); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Swedish Twin Registry (STR); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA),SSGAC,
2,Xuejie,GCST003720,27322543,www.ncbi.nlm.nih.gov/pubmed/27322543,Avon Longitudinal Study of Parents and Children (ALSPAC); Australian Twin-Family Studies (AUSTWIN); Erasmus Rucphen Family Study (ERF); Finnish Twin Cohort Study (FTC); Nord-Trèndelag Health Study (HUNT); British 1958 Birth Cohort Study (B58C); Netherlands Twin Registry (NTR); Netherlands Study of Depression and Anxiety (NESDA); Northern Finnish Birth Cohort Study (NFBC); Rotterdam Study (RS); UK Adult Twin Register (TwinsUK); Womens Genome Health Study (WGHS); 1000 Genomes (1000 Genomes),IHGC,
3,Xuejie,GCST003769,27089181,www.ncbi.nlm.nih.gov/pubmed/27089181,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Avon Longitudinal Study of Parents and Children (ALSPAC); Estonian Genome Center of the University of Tartu (EGCUT); Estonian Genome Center of the University of Tartu (EGCUT); Heinz Nixdorf Recall Study (HNR); Heinz Nixdorf Recall Study (HNR); Health and Retirement Study (HRS); Netherlands Twin Registry (NTR); Religious Orders Study and Rush Memory and Aging Project (ROSMAP); Twins Early Development Study (TEDS); Tracking Adolescents Individual Lives Survey (TRAILS); Cardiovascular Risk in Young Finns Study (YFS); British 1958 Birth Cohort Study (B58C); British 1958 Birth Cohort Study (B58C); The Berlin Aging Study II (BASE-II); Health Professional Follow-up Study (HPFS); Health Professional Follow-up Study (HPFS); Health Professional Follow-up Study (HPFS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Nurses Health Study (NHS); Nurses Health Study (NHS); Nurses Health Study (NHS); Nurses Health Study (NHS); Austrian Stroke Prevention Study (ASPS); AtheroExpress (AEGS1); Baltimore Longitudinal Study of Ageing (BLSA); Cohorte Lausannoise (CoLaus); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); deCODE Genetics (deCODE); Dortmund Health Study (DHS); Finnish Twin Cohort 2014 (FTC2014); Finnish Twin Cohort Study (FTC); Erasmus Rucphen Family Study (ERF); Helsinki Birth Cohort Study (HBCS); Hunter Community Study (HCS); LifeLines (LifeLines); Minnesota Center for Twin and Family Research (MCTFR); Multi-Ethnic Study of Atherosclerosis (MESA); The Netherlands Epidemiology of Obesity Study (NEO); Queensland Institute of Medical Research (QIMR); Queensland Institute of Medical Research 2 (QIMR2); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); SardiNIA Study of Aging (SardiNIA); Swedish Twin Registry 1 (STR1); Swedish Twin Registry 2 (STR2); UK Adult Twin Register (TwinsUK); UK Biobank (UKB); Northern Finnish Birth Cohort Study 1966 (NFBC1966); 23andMe (23andMe); Atherosclerosis Risk in Communities Study (ARIC); The English Longitudinal Study of Ageing (ELSA); Genetics of Overweight Young Adults (GOYA); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936),SSGAC,
4,Xuejie,GCST003258,26708676,www.ncbi.nlm.nih.gov/pubmed/26708676,"Australian Stroke Genetics Collaborative (ASGC); BASe de datos de ICtus del hospital del MAR (BASICMAR); Bio-Repository of DNA in Stroke (BRAINS); Edinburgh Stroke Study (ESS); Greater Cincinnati/Northern Kentucky Stroke Study (GCNKSS); Genetics of Early Onset Stroke (GEOS); Austrian Stroke Prevention Study (ASPS); Ischemic Stroke Genetics Study (ISGS); Krakow stroke genetics study (KRAKOW); Leuven Stroke Genetics Study (LSGS); Lund Stroke Register (LSR); Malmo Diet and Cancer Study (MDC); Middlesex County Ischemic Stroke Study (MCISS); Miami Stroke Registry and Biorepository (MIAMISR); Genes Affecting Stroke Risk and Outcome Study (MGH-GASROS); MUNICH stroke study (MUNICH); Nurses Health Study (NHS); Northern Manhattan Study (NOMAS); Oxford Vascular Study (OXVASC); Reasons for Geographic and Racial Differences in Stroke (REGARDS); Sahlgrenska Academy Study on Ischemic Stroke (SAHLSIS); Secondary Prevention of Small Subcortical Strokes (SPS3); St. Georges Hospital (STGEORGE); Siblings with Ischemic Stroke Study (SWISS); Vitamin Intervention for Stroke Prevention (VISP); Womens Health Initiative (WHI); Washington University St. Louis Study (WUSTL); Attention-deficit Hyperactivity Disorder (ADHD); Australian Stroke Genetics Collaborative (ASGC); Health, Aging, and Body Composition Study (Health ABC); Hispanic Community Health Study (HCHS); Health and Retirement Study (HRS); INfancia y Medio Ambiente Project (INMA); Cooperative Health Research in the Region of Augsburg (KORA); Osteoarthritis Initiative (OAI); British 1958 Birth Cohort Study (B58C); Cervical Artery Dissection and Ischemic Stroke Patients (CADISP); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); FINRISK (FINRISK); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Study of Health in Pomerania (SHIP); Womens Genome Health Study (WGHS); Multi-Ethnic Study of Atherosclerosis (MESA); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); TwinGene Study (TwinGene); Uppsala Longitudinal Study of Adult Men (ULSAM); Three City Study (3C); deCODE Genetics (deCODE); Glasgow, Scotland ImmunoChip Study Samples (GSICSS); Heart and Vascular Health Atrial Fibrillation Study (HVH); Heart Protection Study (HPS); INTERSTROKE (INTERSTROKE); Milano Besta Institute Stroke Study (MILANO); Risk Assessment of Cerebrovascular Events Study, Pakistan (RACE); Reasons for Geographic and Racial Differences in Stroke (REGARDS); The Sea Islands Genetic African American Registry (Project SuGAR); COBRE for Oral Health Study (COBRE); The Systemic Lupus Erythematosus in Gullah Health study (SLEIGH); Stroke In Young Fabry Patients (SIFAP); Utrecht, The Netherlands ImmunoChip Study Samples (UNISS); VHIR-FMT-Barcelona (VHIR-FMT-Barcelona); Womens Health Initiative (WHI); Study of Latinos (SOL); The Pakistan Risk Of Myocardial Infarction Study (PROMIS)",NINDS-SiGN,
5,Xuejie,GCST003984,27182965,www.ncbi.nlm.nih.gov/pubmed/27182965,23andMe (23andMe),GIANT,This one is quite trick
6,Xuejie,GCST003796,27798627,www.ncbi.nlm.nih.gov/pubmed/27798627,"British 1958 Birth Cohort Study (B58C); British 1958 Birth Cohort Study (B58C); 23andMe (23andMe); Avon Longitudinal Study of Parents and Children (ALSPAC); The older order AMISH population studies (AMISH); Austrian Stroke Prevention Study (ASPS); Blue Mountain Eye Study (BMES); Chicago Health and Aging Project (CHAP); Italian Network on Genetic Isolates-Cliento (INGI-Cilento); Cohorte Lausannoise (CoLaus); FINRISK (FINRISK); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); deCODE Genetics (deCODE); Dortmund Health Study (DHS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Finnish Twin Cohort Study (FTC); Genetic Epidemiology Network of Arteriopathy (GENOA); Helsinki Birth Cohort Study (HBCS); Health 2000 Study (Health 2000); Health Professional Follow-up Study (HPFS); Health, Aging, and Body Composition Study (Health ABC); Health and Retirement Study (HRS); Oxford Family Blood Pressure Study (HTO); Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); Italian Network on Genetic Isolates-Val Borbera (INGI-Val Borbera); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Genetic Epidemiology Research in Adult Health and Aging (GERA); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); LifeLines (LifeLines); LonGenity study (LonGenity); Minnesota Center for Twin and Family Research (MCTFR); Multi-Ethnic Study of Atherosclerosis (MESA); Norwegian Mother and Child Cohort study (MOBA); Osteoporotic Fractures in Men Study (MrOS); The Netherlands Epidemiology of Obesity Study (NEO); Netherlands Study of Depression and Anxiety (NESDA); Nurses Health Study (NHS); Netherlands Twin Registry (NTR); Ogliastra Genetic Park (OGP); Ogliastra Genetic Park-Talana Study (OGP-Talana); Orkney Complex Disease Study (ORCADES); Queensland Institute of Medical Research (QIMR); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); Sorbs population (SORBS); Swedish Twin Registry (STR); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); UK Adult Twin Register (TwinsUK); UK Biobank (UKB); Womens Genome Health Study (WGHS); Cardiovascular Risk in Young Finns Study (YFS); Australian Breast Cancer Family Study (ABCFS); Bruneck study (BRUNECK); CARLA (CARLA); Copenhagen Study on Asthma in Childhood (COPSAC); Washington Heights-Inwood Columbia Aging Project (WHICAP); The Berlin Aging Study II (BASE-II); Generation R Study Group (Generation R); Whitehall Study II (Whitehall-II)",,
7,Xuejie,GCST004519,28430825,www.ncbi.nlm.nih.gov/pubmed/28430825,"Carolina Breast Cancer Study (CBCS); Los Angeles component of The Womens Contraceptive and Reproductive Experiences Study (CARE); Multiethnic Cohort Study of Diet and Health (MEC); Nashville Breast Health Study (NBHS); Northern California Breast Cancer Family Registry (NC-BCFR); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); San Francisco Bay Area Breast Cancer Study (SFBCS); Wake Forest University Breast Cancer Study (WFBC); Womens Circle of Health Study (WCHS); Cancer Prevention Study II (CPS-II); Case-Control Study of Prostate Cancer among African Americans in Washington, DC (DCPC); Gene-Environment Interaction in Prostate Cancer Study (GECAP); King County Prostate Cancer Studies (KCPCS); Los Angeles Study of Aggressive Prostate Cancer (LAAPC); Gene-Environment Interaction in Prostate Cancer Study (GECAP); Prostate Cancer in a Black Population (PCBP); Prostate Cancer Case-Control Studies at MD Anderson (MDA); Selenium and Vitamin E Cancer Prevention Trial (SELECT); NBHS/Southern Community Cohort (SCCS); Atherosclerosis Risk in Communities Study (ARIC); Mount Sinai BioMe BioBank (Mount Sinai); Coronary Artery Risk Development in Young Adults (CARDIA); Cleveland Family Study (CFS); Cardiovascular Health Study (CHS); Family Heart Study (FamHS); Genetic STudy of Aspirin Responsiveness (GeneSTAR); Health, Aging, and Body Composition Study (Health ABC); Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS); Jackson Heart Study (JHS); Maywood Cohort (Maywood); Multi-Ethnic Study of Atherosclerosis (MESA); Nigerian cohort (Nigerian); Wake Forest University School of Medicine Study (WFSM); Womens Health Initiative SNP Health Association Resource (WHI-SHARe); Health and Retirement Study (HRS); Howard University Family Study (HUFS); Hypertension Genetic Epidemiology Network (HYPERGEN); Nigerian Breast Cancer Study (NigBCS); Barbados National Cancer Study (BNCS); Racial Variability in Genotypic Determinants of Breast Cancer Risk Study (RVGBC); Baltimore Breast Cancer Study (BBCS_c); Chicago Cancer Prone Study (CCPS); The Study of Asthma Phenotypes and Pharmacogenomic Interactions by Race-Ethnicity (SAPPHIRE); Reasons for Geographic and Racial Differences in Stroke (REGARDS); Bone Mineral Density in Childhood Study (BMDCS); Childrens Hospital of Philadelphia (CHOP)",AAAGC,
8,Xuejie,GCST004113,28177523,www.ncbi.nlm.nih.gov/pubmed/28177523,23andMe (23andMe); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS),,
9,Xuejie,GCST004413,27132594,www.ncbi.nlm.nih.gov/pubmed/27132594,Netherlands Twin Registry (NTR); Queensland Institute of Medical Research (QIMR); Minnesota Center for Twin and Family Research (MCTFR); deCODE Genetics (deCODE),,
10,Xuejie,GCST002922,26007630,www.ncbi.nlm.nih.gov/pubmed/26007630,Swedish National Myeloma Biobank (SNMB); The Norwegian Biobank for Myeloma (NBM); TwinGene Study (TwinGene); Icelandic Cancer Registry (ICR),,
