,PUBMEDID,N,In Charge,DATASETS,Consortia,NOTES
0,27863252,6140851,Xuejie,INTERVAL (INTERVAL); UK Biobank (UKB); UK BiLEVE Cohort Information (UKBiLEVE),,
1,29455858,5986132,Charlie,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES);Atherosclerosis Risk in Communities Study (ARIC);Mount Sinai BioMe BioBank (Mount Sinai);Coronary Artery Risk Development in Young Adults (CARDIA);Cardiovascular Health Study (CHS); CROATIA-Korcula Study (CROATIA-KORCULA) ; CROATIA-Vis Island Study (CROATIA-VIS) ;  Erasmus Rucphen Family Study (ERF) ;  Framingham Heart Study (FHS) ; Genetic Epidemiology Network of Arteriopathy (GENOA) ; Genetics of Lipid Lowering Drugs and Diet Network study (GOLDN) ; Generation Scotland: Scottish Family Health Study (GS:SFHS) ; Health, Aging, and Body Composition Study (Health ABC) ; Health, Risk Factors, Training and Genetics Family Study (HERITAGE) ; Hypertension Genetic Epidemiology Network (HYPERGEN) ; Multi-Ethnic Study of Atherosclerosis (MESA) ;  Rotterdam Study II (RS-II); Rotterdam Study III (RS-III) ; Rotterdam Study II (RS-I) ; Womens Genome Health Study (WGHS) ; Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS) ; Howard University Family Study (HUFS) ; Jackson Heart Study (JHS) ; Maywood Cohort (Maywood) ; Womens Health Initiative (WHI) ; Genetic Epidemiology Network of Salt-Sensitivity Study (GenSalt) ; Singapore Chinese Health Study (SCHS) ;  Singapore Malay Eye Study (SIMES) ; Singapore Indian Eye Study (SINDI) ; Singapore Chinese Eyes Study (SCES) ; SP2-1M (SP2-1M) ; SP2-610 (SP2-610) ;  Family Heart Study (FamHS)",,
2,29403010,4903923,Charlie,Japan Public Health Center Study (JPHC); Tohoku Medical Megabank Project (TMM); The Japan Multi-institutional Collaborative Cohort Study (J-MICC),,
3,28443625,4341902,Xuejie,"AtheroExpress (AEGS1); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Australian Twin-Family Studies (AUSTWIN); Busselton Health Study (BHS); Mount Sinai BioMe BioBank (Mount Sinai); Baltimore Longitudinal Study of Ageing (BLSA); British 1958 Birth Cohort Study (B58C); Cardiovascular Health Study (CHS); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Cohorte Lausannoise (CoLaus); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Vis Island Study (CROATIA-VIS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Family Heart Study (FamHS); Framingham Heart Study (FHS); Fenland study (Fenland); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); GENDIAN (GENDIAN); Generation Scotland: Scottish Family Health Study (GS:SFHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Genetics of Overweight Young Adults (GOYA); Health, Risk Factors, Training and Genetics Family Study (HERITAGE); Health and Retirement Study (HRS); Hypertension Genetic Epidemiology Network (HYPERGEN); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg (KORA); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Ludwigshafen Risk and Cardiovascular Health (LURIC); Multi-Ethnic Study of Atherosclerosis (MESA); Osteoporotic Fractures in Men Study (MrOS); Netherlands Twin Registry (NTR); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Nurses Health Study (NHS); Orkney Complex Disease Study (ORCADES); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Quebec Family Study (QFS); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); UK Adult Twin Register (TwinsUK); Womens Genome Health Study (WGHS); Cardiovascular Risk in Young Finns Study (YFS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Drs Extra (Drs Extra); Estonian Genome Center of the University of Tartu (EGCUT); Ely Study (Ely); European Prospective Investigation into Cancer (EPIC); Fenland study (Fenland); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER); Gene By Environment (GXE); Health2006 Study (Health2006); Nord-Tr�ndelag Health Study (HUNT); Nord-Tr�ndelag Health Study (HUNT); Inter99 Study (Inter99); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Multiethnic Cohort Study of Diet and Health (MEC); Metabolic Syndrome In Men (METSIM); MRC National Survey of Health and Development (NSHD); SCARFSHEEP (SCARFSHEEP); SPT (SPT); Womens Health Initiative (WHI); Whitehall Study (Whitehall); UK Biobank (UKB)",GIANT,
4,29912962,3713542,Charlie,"Aging Gene-Environment Susceptibility - Reykjavik Study (AGES);Atherosclerosis Risk in Communities Study (ARIC); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES) ; Baependi Heart Study (Baependi) ; Coronary Artery Risk Development in Young Adults (CARDIA) ; Cardiovascular Health Study (CHS) ; Erasmus Rucphen Family Study (ERF) ;  Family Heart Study (FamHS) ; Framingham Heart Study (FHS) ;  Genetic Epidemiology Network of Arteriopathy (GENOA) ; Genetic Epidemiology Network of Salt-Sensitivity Study (GenSalt) ; Genetics of Lipid Lowering Drugs and Diet Network study (GOLDN); Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS) ;Health, Aging, and Body Composition Study (Health ABC) ;  Health, Risk Factors, Training and Genetics Family Study (HERITAGE) ; Howard University Family Study (HUFS) ; Hypertension Genetic Epidemiology Network (HYPERGEN) ; Institute of Genetics and Molecular Medicine (IGMM) ; Jackson Heart Study (JHS) ; Multi-Ethnic Study of Atherosclerosis (MESA) ;  The Netherlands Epidemiology of Obesity Study (NEO) ; 1982 Pelotas Birth Cohort Study (1982 Pelotas) ;  Rotterdam Study (RS) ; Singapore Chinese Eyes Study (SCES) ; Singapore Malay Eye Study (SIMES) ; Singapore Indian Eye Study (SINDI) ; Singapore Prospective Study Program (SP2) ; Singapore Chinese Health Study (SCHS) ; Womens Genome Health Study (WGHS) ; Womens Health Initiative (WHI) ; African American Diabetes Heart Study (AADHS) ; Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT) ; BioBank Japan Project (BBJ) ; Beijing Eye Study (BES) ; British Genetics of Hypertension study (BRIGHT) ; Cardio-metabolic Genome Epidemiology Study - Amagasaki (CAGE-Amagasaki) ; Cohorte Lausannoise (CoLaus) ; Epidemiological Study on the Insulin Resistance syndrome study (DESIR) ; Dongfeng-Tongji cohort study (DFTJ) ; Diabetes Heart Study (DHS) ; Drs Extra (Drs Extra) ; Estonian Genome Center of the University of Tartu (EGCUT) ; European Prospective Investigation into Cancer (EPIC) ;  Fenland study (Fenland) ;  Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION) ; Genetic STudy of Aspirin Responsiveness (GeneSTAR) ;  Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER) ; Genetic Regulation of Arterial Pressure in Humans in the Community (GRAPHIC) ; Hispanic Community Health Study (HCHS) ; Health and Retirement Study (HRS) ; Hypertension Genetic Epidemiology Network (HYPERGEN) ; Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG) ;  InterAct (InterAct) ; IRAS (IRAS) ; IRASFS (IRASFS) ; Cooperative Health Research in the Region of Augsburg (KORA) ; Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936) ; LifeLines (LifeLines) ;  Long Life Family Study (LLFS) ; London Life Sciences Population Study (LOLIPOP) ; International Collaborative Study on Hypertension in Blacks (ICSHIB) ; Metabolic Syndrome In Men (METSIM) ; Netherlands Study of Depression and Anxiety (NESDA) ; French Obese Adults (FOA) ; Prevention of Renal and Vascular Endstage Disease study (PREVEND) ; Precocious Coronary Artery Disease Study (PROCARDIS) ; Ragama Health Study (RHS) ; SCARFSHEEP (SCARFSHEEP) ;  Study of Health in Pomerania (SHIP) ; Shanghai Mens and Shanghai Womens Health Studies (SMWHS) ; Tracking Adolescents Individual Lives Survey (TRAILS) ; TwinGene Study (TwinGene) ; UK Biobank (UKB)",,
5,26426971,3373584,,,,
6,28928442,2436228,Pilar,23andMe (23andMe),,
7,28448500,2434991,Xuejie,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Australian Twin-Family Studies (AUSTWIN); Busselton Health Study (BHS); British 1958 Birth Cohort Study (B58C); Coronary Artery Risk Development in Young Adults (CARDIA); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Cohorte Lausannoise (CoLaus); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Vis Island Study (CROATIA-VIS); FINRISK (FINRISK); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Drs Extra (Drs Extra); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Family Heart Study (FamHS); Framingham Heart Study (FHS); Fenland study (Fenland); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); Generation Scotland: Scottish Family Health Study (GS:SFHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Genetics of Overweight Young Adults (GOYA); Health and Retirement Study (HRS); Hypertension Genetic Epidemiology Network (HYPERGEN); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg (KORA); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Ludwigshafen Risk and Cardiovascular Health (LURIC); Multi-Ethnic Study of Atherosclerosis (MESA); Osteoporotic Fractures in Men Study (MrOS); Netherlands Twin Registry (NTR); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Nurses Health Study (NHS); Orkney Complex Disease Study (ORCADES); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Quebec Family Study (QFS); Rotterdam Study (RS); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); UK Adult Twin Register (TwinsUK); Womens Genome Health Study (WGHS); Cardiovascular Risk in Young Finns Study (YFS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Estonian Genome Center of the University of Tartu (EGCUT); Ely Study (Ely); European Prospective Investigation into Cancer (EPIC); Fenland study (Fenland); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER); Gene By Environment (GXE); Health2006 Study (Health2006); Nord-Tr�ndelag Health Study (HUNT); Inter99 Study (Inter99); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Multiethnic Cohort Study of Diet and Health (MEC); Metabolic Syndrome In Men (METSIM); MRC National Survey of Health and Development (NSHD); SCARFSHEEP (SCARFSHEEP); SPT (SPT); Womens Health Initiative (WHI); Whitehall Study (Whitehall); UK Biobank (UKB); The older order AMISH population studies (AMISH); Northern Sweden Population Health Study (NSPHS),GIANT,
8,27182965,2133450,Xuejie,23andMe (23andMe),GIANT,This one is quite trick
9,29292387,1823010,Pilar,23andMe (23andMe); Genetic Epidemiology Research in Adult Health and Aging (GERA); Social Science Genetic Association Consortium (SSGAC); UK Biobank (UKB); Genomic Psychiatry Consortium (GPC),,
