AFRICAN ANCESTRY PROSTATE CANCER CONSORTIUM 1 (AAPC1),AFRICAN ANCESTRY PROSTATE CANCER CONSORTIUM (AAPC)
AFRICAN ANCESTRY PROSTATE CANCER CONSORTIUM 2 (AAPC2),AFRICAN ANCESTRY PROSTATE CANCER CONSORTIUM (AAPC)
ALZHEIMER DISEASE CENTER 1 (ADC1),ALZHEIMER DISEASE CENTER (ADC)
ALZHEIMER DISEASE CENTER 2 (ADC2),ALZHEIMER DISEASE CENTER (ADC)
ALZHEIMER DISEASE CENTER 3 (ADC3),ALZHEIMER DISEASE CENTER (ADC)
"ASIAN CONSORTIUM, COLORECTAL CANCER GUANGZHOU-1 (GUANGZHOU-1)","ASIAN CONSORTIUM, COLORECTAL CANCER GUANGZHOU (GUANGZHOU)"
"ASIAN CONSORTIUM, COLORECTAL CANCER GUANGZHOU-2 (GUANGZHOU-2)","ASIAN CONSORTIUM, COLORECTAL CANCER GUANGZHOU (GUANGZHOU)"
"BIOBANK GENOME WIDE ASSOCIATION STUDY OF CARDIOVASCULAR, RENAL AND METABOLIC PHENOTYPES I (IPM I)",CHARLES R BRONFMAN INSTITUTE FOR PERSONALIZED MEDICINE - IPM (IPM)
"BIOBANK GENOME WIDE ASSOCIATION STUDY OF CARDIOVASCULAR, RENAL AND METABOLIC PHENOTYPES II (IPM II)",CHARLES R BRONFMAN INSTITUTE FOR PERSONALIZED MEDICINE - IPM (IPM)
BIOLOGICS IN RHEUMATOID ARTHRITIS GENETICS AND GENOMICS STUDY SYNDICATE 1 (BRAGGSS1),BIOLOGICS IN RHEUMATOID ARTHRITIS GENETICS AND GENOMICS STUDY SYNDICATE (BRAGGSS)
BIOLOGICS IN RHEUMATOID ARTHRITIS GENETICS AND GENOMICS STUDY SYNDICATE 2 (BRAGGSS2),BIOLOGICS IN RHEUMATOID ARTHRITIS GENETICS AND GENOMICS STUDY SYNDICATE (BRAGGSS)
BIOLOGICS IN RHEUMATOID ARTHRITIS GENETICS AND GENOMICS STUDY SYNDICATE 3 (BRAGGSS3),BIOLOGICS IN RHEUMATOID ARTHRITIS GENETICS AND GENOMICS STUDY SYNDICATE (BRAGGSS)
BREAST CANCER STUDY IN TAIWAN 2 (BCST2),BREAST CANCER STUDY IN TAIWAN (BCST)
BUSSELTON HEALTH STUDY 2 (BHS2),BUSSELTON HEALTH STUDY (BHS)
CANCER PREVENTION STUDY I (CPS-I),CANCER PREVENTION STUDY (CPS)
CANCER PREVENTION STUDY II (CPS-II),CANCER PREVENTION STUDY (CPS)
CANCER PREVENTION STUDY III (CPS-III),CANCER PREVENTION STUDY (CPS)
CANCER PROSTATE IN SWEDEN 1 (CAPS1),CANCER PROSTATE IN SWEDEN (CAPS)
CANCER PROSTATE IN SWEDEN 2 (CAPS2),CANCER PROSTATE IN SWEDEN (CAPS)
COLORECTAL CANCER AICHI 1 (AICHI-1),ASIAN CONSORTIUM (AICHI)
COLORECTAL CANCER AICHI-2 (AICHI-2),ASIAN CONSORTIUM (AICHI)
"COLORECTAL CANCER SHANGHAI, ASIAN CONSORTIUM, COLORECTAL CANCER SHANGHAI-1 (SHANGHAI-1)",ASIAN CONSORTIUM (SHANGHAI)
"COLORECTAL CANCER SHANGHAI, ASIAN CONSORTIUM, COLORECTAL CANCER SHANGHAI-2 (SHANGHAI-2)",ASIAN CONSORTIUM (SHANGHAI)
COPENHAGEN CITY HEART STUDY 1 (CCHS-1),COPENHAGEN CITY HEART STUDY (CCHS)
COPENHAGEN CITY HEART STUDY 2 (CCHS-2),COPENHAGEN CITY HEART STUDY (CCHS)
COPENHAGEN STUDY ON ASTHMA IN CHILDHOOD 2000 BIRTH COHORT (COPSAC-2000),COPENHAGEN STUDY ON ASTHMA IN CHILDHOOD (COPSAC)
COPENHAGEN STUDY ON ASTHMA IN CHILDHOOD 2010 BIRTH COHORT (COPSAC-2010),COPENHAGEN STUDY ON ASTHMA IN CHILDHOOD (COPSAC)
CPCS 1 (CPCS1),CPCS (CPCS)
CPCS 2 (CPCS2),CPCS (CPCS)
DANISH LONGEVITY STUDY I (DLS-I),DANISH LONGEVITY STUDY (DLS)
DANISH LONGEVITY STUDY II (DLS-II),DANISH LONGEVITY STUDY (DLS)
DIABETES UK WARREN I REPOSITORY (DUKW-I),DIABETES UK WARREN REPOSITORY (DUKW)
DIABETES UK WARREN II REPOSITORY (DUKW-II),DIABETES UK WARREN REPOSITORY (DUKW)
DIABETES UK WARREN III REPOSITORY (DUKW-III),DIABETES UK WARREN REPOSITORY (DUKW)
"DIET, ACTIVITY AND LIFESTYLE SURVEY SET II (DALS-II)","DIET, ACTIVITY, AND LIFESTYLE STUDY (DALS)"
EADI 1 (EADI1),EADI (EADI)
EADI 2 (EADI2),EADI (EADI)
EUROPEAN COMMUNITY RESPIRATORY HEALTH SURVEY 2 (ECRHS2),EUROPEAN COMMUNITY RESPIRATORY HEALTH SURVEY (ECRHS)
EUROPEAN DESCENT IN THE DIABETES GENETICS REPLICATION AND META-ANALYSIS 3 (DIAGRAM3),EUROPEAN DESCENT IN THE DIABETES GENETICS REPLICATION AND META-ANALYSIS (DIAGRAM)
FINLAND-UNITED STATES INVESTIGATION OF NON-INSULIN-DEPENDENT DIABETES MELLITUS GENETICS II (FUSION STAGE 2),FINLAND-UNITED STATES INVESTIGATION OF NON-INSULIN-DEPENDENT DIABETES MELLITUS GENETICS (FUSION STAGE)
FINNISH TWIN COHORT 2012 (FTC2012),FINNISH TWIN COHORT STUDY (FTC)
FINNISH TWIN COHORT 2014 (FTC2014),FINNISH TWIN COHORT STUDY (FTC)
FINNISH TWIN COHORT 2016 (FTC2016),FINNISH TWIN COHORT STUDY (FTC)
GENETICS OF DIABETES AUDIT AND RESEARCH I (GODARTS-I),GENETICS OF DIABETES AUDIT AND RESEARCH (GODARTS)
GENETICS OF DIABETES AUDIT AND RESEARCH II (GODARTS-II),GENETICS OF DIABETES AUDIT AND RESEARCH (GODARTS)
GERAD 1 (GERAD1),GERAD (GERAD)
GERAD 2 (GERAD2),GERAD (GERAD)
GERMAN MYOCARDIAL INFARCTION FAMILY STUDY I (GERMIFS I),GERMAN MYOCARDIAL INFARCTION FAMILY STUDY (GERMIFS)
GERMAN MYOCARDIAL INFARCTION FAMILY STUDY II (GERMIFS II),GERMAN MYOCARDIAL INFARCTION FAMILY STUDY (GERMIFS)
GERMAN MYOCARDIAL INFARCTION FAMILY STUDY III (GERMIFS III),GERMAN MYOCARDIAL INFARCTION FAMILY STUDY (GERMIFS)
GERMAN MYOCARDIAL INFARCTION FAMILY STUDY IV (GERMIFS IV),GERMAN MYOCARDIAL INFARCTION FAMILY STUDY (GERMIFS)
HAPMAP 2 (HAPMAP2),HAPMAP (HAPMAP)
HAPMAP 3 (HAPMAP3),HAPMAP (HAPMAP)
HK1 (HK1),HK (HK)
HK2 (HK2),HK (HK)
HONG KONG GWAS 1 (HKS1),HONG KONG STUDY (HKS)
HONG KONG GWAS 2 (HKS2),HONG KONG STUDY (HKS)
ICELAND AAA GWAS DATASET II (IBCS-II),ICELAND AAA GWAS DATASET (IBCS)
ICELAND AAA GWAS DATASET III (IBCS-III),ICELAND AAA GWAS DATASET (IBCS)
INTERHEART STUDY 2 (ITH_2),INTERHEART STUDY (ITH)
INTERNATIONAL COLLABORATIVE STUDY OF CARDIOVASCULAR DISEASE IN ASIA 1 (INTERASIA1),INTERNATIONAL COLLABORATIVE STUDY OF CARDIOVASCULAR DISEASE IN ASIA (INTERASIA)
INTERNATIONAL COLLABORATIVE STUDY OF CARDIOVASCULAR DISEASE IN ASIA 2 (INTERASIA2),INTERNATIONAL COLLABORATIVE STUDY OF CARDIOVASCULAR DISEASE IN ASIA (INTERASIA)
INTERNATIONAL SCHIZOPHRENIA CONSORTIUM SWEDEN1 (ISC-SWEDEN1),INTERNATIONAL SCHIZOPHRENIA CONSORTIUM SWEDEN (ISC-SWEDEN)
INTERNATIONAL SCHIZOPHRENIA CONSORTIUM SWEDEN2 (ISC-SWEDEN2),INTERNATIONAL SCHIZOPHRENIA CONSORTIUM SWEDEN (ISC-SWEDEN)
ISAAC PHASE II STUDY (ISAAC-II),ISAAC (ISAAC)
KIOM STAGE II (KIOM-II),KIOM (KIOM)
KOREAN CANCER PREVENTION STUDY II (KCPS-II),KOREAN CANCER PREVENTION STUDY (KCPS)
KOREAN CHILDHOOD COHORT -1 (KOCAS-1),KOREAN CHILDHOOD (KOCAS)
KOREAN CHILDHOOD COHORT -2 (KOCAS-2),KOREAN CHILDHOOD (KOCAS)
LOTHIAN BIRTH COHORT STUDIES 1921 (LBC1921),LOTHIAN BIRTH COHORT (LBC)
LOTHIAN BIRTH COHORT STUDIES 1936 (LBC1936),LOTHIAN BIRTH COHORT (LBC)
LUDWIGSHAFEN RISK AND CARDIOVASCULAR HEALTH STUDY 1 (LURIC1),LUDWIGSHAFEN RISK AND CARDIOVASCULAR HEALTH (LURIC)
LUDWIGSHAFEN RISK AND CARDIOVASCULAR HEALTH STUDY 2 (LURIC2),LUDWIGSHAFEN RISK AND CARDIOVASCULAR HEALTH (LURIC)
MARSEILLE THROMBOSIS ASSOCIATION STUDY _2008 (MARTHA08),MARSEILLE THROMBOSIS ASSOCIATION (MARTHA)
MARSEILLE THROMBOSIS ASSOCIATION STUDY _2010 (MARTHA10),MARSEILLE THROMBOSIS ASSOCIATION (MARTHA)
MARSEILLE THROMBOSIS ASSOCIATION STUDY _2012 (MARTHA12),MARSEILLE THROMBOSIS ASSOCIATION (MARTHA)
MOLECULAR GENETICS OF SCHIZOPHRENIA COLLABORATION US1 (MGS-US1),MOLECULAR GENETICS OF SCHIZOPHRENIA COLLABORATION (MGS-US)
MOLECULAR GENETICS OF SCHIZOPHRENIA COLLABORATION US2 (MGS-US2),MOLECULAR GENETICS OF SCHIZOPHRENIA COLLABORATION (MGS-US)
NCI BLADDER CANCER GWAS 1 (NCI-GWAS1),NCI BLADDER CANCER (NCI-GWAS)
NETHERLANDS TWIN REGISTRY 1 (NTR1),NETHERLANDS TWIN REGISTRY (NTR)
NETHERLANDS TWIN REGISTRY 2 (NTR2),NETHERLANDS TWIN REGISTRY (NTR)
NHANES III (NHANES III),NHANES (NHANES)
NIDDK 1 (NIDDK1),NIDDK (NIDDK)
NIDDK 2 (NIDDK2),NIDDK (NIDDK)
NORTH AMERICAN RHEUMATOID ARTHRITIS CONSORTIUM I (NARAC-I),NORTH AMERICAN RHEUMATOID ARTHRITIS CONSORTIUM (NARAC)
NORTH AMERICAN RHEUMATOID ARTHRITIS CONSORTIUM II  (NARAC-II),NORTH AMERICAN RHEUMATOID ARTHRITIS CONSORTIUM (NARAC)
NORTH AMERICAN RHEUMATOID ARTHRITIS CONSORTIUM III (NARAC-III),NORTH AMERICAN RHEUMATOID ARTHRITIS CONSORTIUM (NARAC)
NORTHERN FINNISH BIRTH COHORT STUDY 1966 (NFBC1966),NORTHERN FINNISH BIRTH COHORT STUDY (NFBC)
NORTHERN FINNISH BIRTH COHORT STUDY 1986 (NFBC1986),NORTHERN FINNISH BIRTH COHORT STUDY (NFBC)
NPHS-II (NPHS-II),NPHS (NPHS)
NURSES HEALTH STUDY II (NHS2),NURSES HEALTH STUDY (NHS)
OSTEOSII (OSTEOSII),OSTEOS (OSTEOS)
OTTAWA HEART GENOMICS STUDY 1 (OHGS1),OTTAWA HEART GENOMICS STUDY (OHGS)
OTTAWA HEART GENOMICS STUDY 2 (OHGS2),OTTAWA HEART GENOMICS STUDY (OHGS)
OTTAWA HEART GENOMICS STUDY 3 (OHGS3),OTTAWA HEART GENOMICS STUDY (OHGS)
PREVENTION AND INCIDENCE OF ASTHMA AND MITE ALLERGY BIRTH COHORT STUDY SUBSAMPLE 1 (PIAMA1),PREVENTION AND INCIDENCE OF ASTHMA AND MITE ALLERGY BIRTH COHORT STUDY (PIAMA)
PREVENTION AND INCIDENCE OF ASTHMA AND MITE ALLERGY BIRTH COHORT STUDY SUBSAMPLE 2 (PIAMA2),PREVENTION AND INCIDENCE OF ASTHMA AND MITE ALLERGY BIRTH COHORT STUDY (PIAMA)
QUEENSLAND INSTITUTE OF MEDICAL RESEARCH 2 (QIMR2),QUEENSLAND INSTITUTE OF MEDICAL RESEARCH (QIMR)
RELIGIOUS ORDERS STUDY AND RUSH MEMORY AND AGING PROJECT 1 (ROSMAP1),RELIGIOUS ORDERS STUDY AND RUSH MEMORY AND AGING PROJECT (ROSMAP)
RELIGIOUS ORDERS STUDY AND RUSH MEMORY AND AGING PROJECT 2 (ROSMAP2),RELIGIOUS ORDERS STUDY AND RUSH MEMORY AND AGING PROJECT (ROSMAP)
"RISK ASSESSMENT OF CEREBROVASCULAR EVENTS STUDY, PAKISTAN 1 (RACE 1)","RISK ASSESSMENT OF CEREBROVASCULAR EVENTS STUDY, PAKISTAN (RACE )"
"RISK ASSESSMENT OF CEREBROVASCULAR EVENTS STUDY, PAKISTAN 2 (RACE 2)","RISK ASSESSMENT OF CEREBROVASCULAR EVENTS STUDY, PAKISTAN (RACE )"
ROTTERDAM STUDY I (RS-I),ROTTERDAM STUDY (RS)
ROTTERDAM STUDY II (RS-II),ROTTERDAM STUDY (RS)
ROTTERDAM STUDY III (RS-III),ROTTERDAM STUDY (RS)
SARDINIA STUDY OF AGING 2 (SARDINIA2),SARDINIA STUDY OF AGING (SARDINIA)
SHANGHAI BREAST CANCER STUDY I (SBCS-I),SHANGHAI BREAST CANCER STUDY (SBCS)
SHANGHAI BREAST CANCER STUDY II (SBCS-II),SHANGHAI BREAST CANCER STUDY (SBCS)
STUDY OF ADDICTION: GENETICS AND ENVIRONMENT II (SAGE II),STUDY OF ADDICTION: GENETICS AND ENVIRONMENT (SAGE)
STUDY OF EPIDEMIOLOGY AND RISK FACTORS IN CANCER HEREDITY _ STAGE 2 (SEARCH2),STUDY OF EPIDEMIOLOGY AND RISK FACTORS IN CANCER HEREDITY (SEARCH)
STUDY OF EPIDEMIOLOGY AND RISK FACTORS IN CANCER HEREDITY _ STAGE 3 (SEARCH3),STUDY OF EPIDEMIOLOGY AND RISK FACTORS IN CANCER HEREDITY (SEARCH)
STUDY OF HEALTH IN POMERANIA - LEGEND (SHIP-LEGEND),STUDY OF HEALTH IN POMERANIA (SHIP)
STUDY OF HEALTH IN POMERANIA 1 (SHIP-1),STUDY OF HEALTH IN POMERANIA (SHIP)
STUDY OF HEALTH IN POMERANIA TREND (SHIP-TREND),STUDY OF HEALTH IN POMERANIA (SHIP)
SWEDISH TWIN REGISTRY 1 (STR1),SWEDISH TWIN REGISTRY (STR)
SWEDISH TWIN REGISTRY 2 (STR2),SWEDISH TWIN REGISTRY (STR)
SYSTEMATIC TREATMENT ENHANCEMENT PROGRAM FOR BIPOLAR DISORDER 1 (STEP1),SYSTEMATIC TREATMENT ENHANCEMENT PROGRAM FOR BIPOLAR DISORDER (STEP)
SYSTEMATIC TREATMENT ENHANCEMENT PROGRAM FOR BIPOLAR DISORDER 2 (STEP2),SYSTEMATIC TREATMENT ENHANCEMENT PROGRAM FOR BIPOLAR DISORDER (STEP)
TEXAS BLADDER CANCER STUDY 1 (TXBCS 1),TEXAS BLADDER CANCER STUDY (TXBCS)
TEXAS BLADDER CANCER STUDY 2 (TXBCS 2),TEXAS BLADDER CANCER STUDY (TXBCS)
THE BERLIN AGING STUDY II (BASE-II),THE BERLIN AGING STUDY (BASE)
THE MAYO CLINIC STUDY 2 (MAYO2),THE MAYO CLINIC STUDY (MAYO)
